"","KH_1KO_L7_trim_paired_alPEv3.BAM","KH_2WT_L2_trim_paired_alPEv3.BAM","KH_3KO_L5_trim_paired_alPEv3.BAM","KH_4WT_L3_trim_paired_alPEv3.BAM","KH_6WT_L6_trim_paired_alPEv3.BAM","KH10KO_L1_trim_paired_alPEv3.BAM","KH7WT_L4_trim_paired_alPEv3.BAM","KH9KO_L8_trim_paired_alPEv3.BAM"
"Xkr4",44.06,12.9,20.35,16.95,10.74,16.59,10.07,13.85
"Gm38717",1.2,1.6,0.27,1.81,4.5,0.67,2,0.17
"Rp1",6.5,4.62,2.2,2.44,4.8,12.1,2.73,8.1
"Sox17",0,2,0,0,0,0,0,0
"Mrpl15",1077.5,588,953.5,848,854,992,888,939
"Lypla1",1790.95,1104,2082.5,1777.17,1716.5,1381.5,1644,1956.11
"Tcea1",1621.08,1041.88,1510.83,1416.64,1222.4,1017.48,1206.83,1348.08
"Rgs20",28.2,12.61,17.25,1.36,5.6,9.89,10.31,3.29
"Atp6v1h",1336.11,909,1359.33,1325.67,1136,1051.11,1171.11,1284
"Oprk1",0,0,0,0,0,0,0,0
"Npbwr1",0,0,0,0,0,0,0,0
"Rb1cc1",1618,1322,1867,2377,2136.5,1261.73,1874,1727
"Fam150a",47,32,43,31.33,51.33,21,35.5,37.83
"St18",10.57,1,6.75,2.59,7.59,1.64,4.44,3.68
"Pcmtd1",1265.16,1124.2,1627.28,2043.66,1709.86,972.5,1648.16,1538.17
"Sntg1",2812.12,1547.58,2954.45,2057.37,1899.18,1817.33,1749.62,2392.07
"Rrs1",824.5,593,783.5,754.5,733.25,805.17,710.83,694.67
"Adhfe1",1819.39,871.72,1543,1292.75,1233.41,1644.94,1286.45,1501.69
"3110035E14Rik",1,0,0,0,0,0,0,0.33
"Mybl1",138,39,101.14,38,61,60,50,132
"Vcpip1",2055,1255,2450,2087.5,1881,1621.17,1732,2030.33
"Sgk3",590.5,543.67,701,836,752,519,782,642
"Mcmdc2",362,214,186.2,242.33,206.33,276.17,211.67,189
"Tcf24",3,0,0,0,0,0,1,0
"Ppp1r42",3,1.25,0,3.17,4.67,7,0,2.17
"Cops5",1810,975,1538,1484,1538,1398.33,1573,1494
"Cspp1",1378.11,971.17,1142.2,1405.51,1229.11,1068.75,1257.08,1134.2
"Arfgef1",2934.5,1801.25,4225,3017,2763,2252,2616.5,3630.5
"Cpa6",21.71,5.17,4.97,3.88,3.28,6.24,5.4,7.02
"Prex2",7.22,6.95,14.49,7.96,7.39,2.79,7.41,3.08
"A830018L16Rik",60.92,23.18,60.44,39.1,39.51,37.73,32.23,53.74
"Sulf1",22.58,10.33,2.96,4.67,9.81,7.33,4.17,2.33
"Slco5a1",76.4,23.4,6,1.9,1.25,9.4,4.25,6
"Prdm14",1,0,3,2,0,2,0,1
"Ncoa2",2418.62,1922.67,3571.52,2816.94,2531.43,1704,2679.41,2721
"Tram1",3330,1927,3480,3027,3021,2592,2985,3136
"Lactb2",315.5,158,399.5,392,384,236.5,330.7,369.5
"Xkr9",0,0,0,0,0,0,0,0
"Eya1",7.2,2,0,1,0.33,4.25,0,1.1
"Msc",3,3,1,0,0,0,0,1
"Trpa1",6,4.5,2,0,1,1,1,0
"Kcnb2",2.45,1,0.98,6.33,0.5,0,2,1
"Terf1",1007.5,705,862.83,1045,902.25,687,842,745.2
"Sbspon",109.42,47.55,79.34,76.22,85.89,69.02,62.61,66.87
"4930444P10Rik",4,1,0,0,3,1,0,2
"Rpl7",15727.06,10489.24,14963.17,12314.83,12154.32,12021.91,12045.08,12830.05
"Rdh10",288,210,275,364,306,199,305,282
"Stau2",53.96,10.54,18.57,20.08,19.7,13.24,16.42,17.71
"Ube2w",821.37,684,801.75,939.45,803.25,652.45,762.5,784.17
"LOC108167614",0,0,0,0,0,0,0,0
"Tceb1",1796.31,845,1327,1147,1139.5,1222.81,1147,1303.95
"Tmem70",710,372,601,513,469,551,478,500
"Ly96",93,37,47,33,33,30,31,33
"Jph1",3.02,0.2,1.5,2.1,3,4.23,3.05,0.48
"Gdap1",0,0,0,0,0,1,0,1
"Pi15",0,0,0,0,0,0,0,0
"Crispld1",0,0,0,0.83,0.5,0.14,0.64,0
"Crisp4",0,0,0.5,0,0,0,0,0
"Defb18",0,0,0,0,1,0,0,0
"Defb41",7.11,13,15.11,14.11,8.11,6.32,7.5,12.42
"Tfap2d",553.48,254.33,370.15,321.7,328.63,388.58,330.63,390.03
"Tfap2b",0,2,0,0,0,0,0,0
"Pkhd1",24.25,8.37,6.73,7.33,8.71,7.88,8.44,10.73
"Il17a",4,0,1,0,1,6,5,1
"Il17f",10,12,4,6,0,5,1,9
"Mcm3",3625,1215,3312,1877,1852,3029,1986,3222
"Paqr8",63,55,77,95,104,49,101,66.5
"Efhc1",11,10,1,6,11,8,7,9.25
"Tram2",68,33,110.45,79,68,32,68,88
"Tmem14a",45.9,42,51.5,64.22,62.83,60.93,82.53,52.8
"Gsta3",10,0,5,8,2,5,4,5
"Khdc1a",0,0,0,0,0,0,0,0
"Khdc1c",0,0,0,0,0,0,0,0
"Khdc1b",0,0,0,0,0,0,0,0
"Kcnq5",2831.07,1643.54,2223.33,1871.53,1825,2276.83,1947.98,2050.05
"Rims1",0.6,0,1.18,2.33,0.52,0.38,0.74,0.33
"4933415F23Rik",0,0,1,0,0,0,0,0
"Ogfrl1",344.5,83,32,15,19,33,24,51
"B3gat2",57.94,25.76,28.86,19.53,21.49,25.5,14.47,14.31
"Smap1",904,553,1096.7,1009,901.34,647.5,812.96,968.12
"Sdhaf4",209,144,169,172,137,183,163,158
"Fam135a",20.5,7.75,10.11,6.5,2,5.5,4.5,13
"Col9a1",1,0,0.25,0,1,0,2,0
"Col19a1",10.92,9.61,6.5,10.33,26.42,1.83,7.17,0.75
"Lmbrd1",726.67,452.17,687.39,723.03,621.35,444.79,618.14,588.74
"Adgrb3",22.98,24.59,7.74,18.72,12.34,18.35,15.21,6.03
"Gm20172",0,0,0,0,0,0,0,0
"4931408C20Rik",0,0,0,0,0,0,0,0
"Gm597",0,0,0,0,0,0,0,0
"Phf3",2509.83,1623,3029.5,3156.5,2853.5,1934.5,2570.5,2592.5
"Ptp4a1",1083.05,863.15,1018.67,1172.57,786.46,778.03,529.78,597.56
"Lgsn",0,0,0,0,0,0,0,0
"Pih1d3",0,0,0,0,0,0,0,0
"Khdrbs2",11.78,13.62,14.26,3.04,7.01,6.12,8.34,7.55
"Gm9839",0,0,0,0,0,0,0,0
"Gm5415",0,0,0,0,0,0,0,0
"Prim2",697.17,250.56,648.67,469.69,406,506.83,435,668.11
"Rab23",225,107,164,188,173,146,166,206
"Bag2",121,38,99,42,41,50,43,104
"Zfp451",1525,1309,1761.17,1933,1879.4,1300,1663,1676.2
"Gm15455",260.83,179.33,260.5,236,207,275,214,242.33
"Bend6",31,18,40,19,24,18,29,29
"Dst",357.2,97.88,229.94,119.87,143.07,164.1,117.24,162.92
"Ccdc115",757.5,499,557,565,592.5,632.5,601.5,567
"Imp4",1023,701,1172,807,806,862,887,1001
"Ptpn18",1755,1366,1366.75,1210,1228,1483.1,1283,1233.5
"Prss39",12,2,2,2,2,8,1,2
"Cfc1",1,0,0,0,0,0,0,0
"Prss40",0,0,0,0,0,0,0,0
"Amer3",0,0,0,0,0,0,0,1
"Arhgef4",482,505,440,622,578,405,633,390
"Fam168b",4524.67,3464.25,6346.92,5227,4908.67,3977.33,4905,5690
"Plekhb2",1217,529,1210,683,610,883,618,1217
"Hs6st1",700,509,1074,883,842,881,750,819
"Uggt1",3428.32,2016,3904.22,3507.06,3430.27,2782.75,3174.77,3973.92
"Neurl3",1440.5,1453,955.5,2135.83,2301,1140,2272,1281
"Arid5a",2893,1565,2875,2366,2379,2515,2334,2763
"Kansl3",2058,1395,1990,2226,2036,1737,1854,1866
"Fer1l5",139,190,105,202,198,116,192,120
"Lman2l",417,310.5,392.5,516.5,597.5,411,545,462.5
"Cnnm4",221.5,116,198,216,184,212,169.5,207
"Cnnm3",537,508,604.5,694,680.5,517.5,542,581
"Ankrd23",790,545,485,687,679.5,690,630,450
"Ankrd39",293.5,246,402,450,399,263,412,358
"Sema4c",102,44,19,19,6,26,7,29
"Fam178b",61.07,46.03,54.81,42.5,41.93,46.63,35.17,39.2
"Cox5b",1022.92,457.17,577,560.92,532.17,719.83,609.58,606.08
"Actr1b",1563,1141,1613,1615,1523,1456,1778,1528
"Zap70",5287,3646,4694,4647,4356,4592,4384,4237
"Tmem131",2595,1544.5,3101.5,2738.5,2471.33,2079,2563,2881
"Vwa3b",176.25,39,78,77.5,70.5,84,70,118.5
"Cnga3",2,3,1,4,1,4,1,2
"Inpp4a",742,521,784,987,975,595,962,816
"Coa5",2207,1458,2807,2120,2005,1808,2034,2399.5
"Unc50",719,527,767,878,857,612,887,841
"Mgat4a",953.92,810.7,1427.3,1202.08,1116.23,646.3,1217.9,1067.11
"2010300C02Rik",100,73,107,63.25,75,111,80,92
"Tsga10",75.83,42.4,71.65,84.91,77.47,42.2,75.79,80.91
"Lipt1",145,59,106,159,143,109,135,67
"Mitd1",1369,736,1226,1343,1258,1114,1149,1245
"Mrpl30",1428,843.5,1141.5,1015.5,1047,1175,1179.5,1030.5
"Lyg2",1,0,0,0,0,0,0,0
"Lyg1",0,0,0,0,0,0,0,0
"Txndc9",1155,750,1078.5,1074.83,1096.5,916.83,1191.33,984.17
"Eif5b",4582.1,2375,3232.5,2966,2933.5,3457,2987,3096
"Rev1",406.67,236.83,521.67,483,448.67,353,449,453.33
"Aff3",2615,1909,2670,2817,2568,2151,2360.2,2380
"Lonrf2",0.33,0,1,0,2,1,1,0.83
"Chst10",310,221,327,316.25,295,315.25,332,299.5
"Nms",0,0,0,0,0,0,0,0
"Pdcl3",753,468.5,636,616,636,671.5,717,699
"Npas2",67.45,18.84,30.68,14.88,12.18,23.68,11.76,31.31
"Rpl31",981.02,701.58,737.4,759.12,691.61,793.97,732.6,650.46
"Tbc1d8",499,148,17.25,22,14,27,29,27
"Cnot11",1239.4,709,1087.45,1145,977.5,983,1080.5,1005.5
"Rnf149",1290.58,820,1141,1097,1006,1031,973.25,1294
"Creg2",0,0,0,0,0,0,0,0
"Rfx8",10,6,6,8,2,5,4,9
"Gm3646",0,0,0,0,0,0,0,0
"Map4k4",7727.83,5494,8118,8317,7508.58,6418.5,7646.33,7592
"Il1r2",548,7,91,0,0,182,2,178
"Il1r1",12.97,6.11,8.7,3.86,1.28,7.11,9.46,5.76
"Il1rl2",201,149,222,267,298,153,276,185
"Il1rl1",56.17,5,16.11,0,0.5,7,2,29
"Il18r1",1974,727,1021,1089,987,1077,838,1582
"Il18rap",2556,1316,2208,1282,1729,1058.2,1527,2055.25
"Slc9a4",1,0,0.12,0.2,0,0,0,0
"Slc9a2",1.71,3,11.63,0,0.32,0.84,0.11,0.9
"Mfsd9",26.17,16,28.2,17.17,24,35,38.17,37.17
"Tmem182",0,0,0,0,0,0,0,0
"Pou3f3",0,0,0,0,0,0,1,0
"Mrps9",1528,1185,1775,1808,1612,1242,1633,1659
"Gpr45",16.22,6.5,13.5,7.5,6,22,16.5,14
"Tgfbrap1",831,628,1087,878,896,687.5,866,918.5
"LOC108167597",0,0,0,0,0,0,0,0
"AI597479",433,298,556,547.5,506.17,352,502.5,484
"Fhl2",260,191,311,221,303,274,237,285
"Gm8210",0,0,0,0,0,0,0,0
"Nck2",1012.64,740.87,1294.29,1403.3,1175.03,717.57,1058.56,983.9
"1500015O10Rik",48,34,37,43,41,26,63,47
"Uxs1",544,328.5,422,537,397,347,390.5,416
"Tpp2",3190.5,1855.67,3599.39,3286.33,3048.33,2411,3060.5,3105.53
"Mettl21c",28.5,7,13.33,19.25,10,15.83,15.25,19.33
"Ccdc168",50,38,47,88,107,30,98,79
"Tex30",849,473,563,650,504,422,439,398
"Kdelc1",264,81,135,148,151,159,161,191
"Bivm",199,179,223,212,193,166,210,223
"Ercc5",1221.5,1008,1014.33,1336.5,1164,932,1125,962
"Mettl21e",1,1,2,2,0,0,0,2
"Gulp1",4.13,5.5,1.59,1.45,1.65,1.44,1.15,2.9
"Col3a1",32,66,0,3,0,2,0,1
"Col5a2",15,11,0,1.17,3,3,1,0
"Wdr75",1756.5,1159.5,1905.25,1957.33,1811.5,1413.75,1862.5,1712
"Slc40a1",33,20,1,1,5,0,0,0
"Dnah7b",40.22,89.66,47.04,74.84,61.66,58.47,70.37,49.05
"Dnah7c",28.53,6.32,13.17,25,23.33,8.44,10.89,7.89
"Slc39a10",518.33,513,709.75,852.25,809.75,441.5,653.33,725.5
"Tmeff2",10.5,11,12,14.83,17.5,11.2,17,18.87
"Sdpr",4,7.5,1,0,0,2.5,1.5,0
"Nabp1",1632,922,1711,1479,1727,1307,1757,1721.2
"Myo1b",24.85,14.44,7.98,2,2.67,11.29,12.67,13.17
"Stat4",5784.59,3217.47,7154.68,5052.68,5239.76,4505.13,4536.03,5296.54
"Stat1",19980.5,7223,20577.17,11403,11842.5,16587,12558.5,23789
"Gls",4728.45,3300,5987,5318,4411,3392.58,4946,5293
"Nab1",3163.17,1633,4113.5,2484.4,2391.83,2493.67,2255.83,3363.33
"Tmem194b",3160.97,1737.11,3192.17,2564.13,2493.24,2393.94,2520.1,2780.17
"Mfsd6",623.8,297.7,954.3,410.32,454.43,463.37,405.89,667.2
"Inpp1",2014.5,1246,2157,1854,1899,1584,1855.5,1968.25
"Hibch",430.5,272,442,413.83,419,287,364.5,359
"1700019D03Rik",183.67,17.5,102.5,9.75,11.5,79.5,8,56
"Mstn",0,0,1,0,0,0,0,0
"1700019A02Rik",5,0,2,4,6,3,2,8
"Pms1",708.11,291.67,662.33,577.62,539.67,471.33,540.5,614.5
"Ormdl1",712.67,458.33,792.67,684.83,646,587.83,592.17,755.67
"Osgepl1",337,240,310,331,372,225,305,278
"Asnsd1",1710,867.5,1465.5,1193,1168.5,1276.5,1161,1402
"Dnah7a",547,267.23,400.06,432.06,364.44,302.77,325.99,358.66
"Stk17b",10507,12405,15796.5,12950.5,11078.5,10689,11859.42,12915
"Hecw2",427.74,268.93,298.12,402.29,346.56,309.14,376.56,253.04
"Ccdc150",22.55,21,13.08,17.25,11.95,14.03,17.2,10.56
"Gtf3c3",510.82,469.25,630.84,671.69,691.15,466.23,681.73,634.05
"Gm34066",0,0,0,0,0,0,2,0
"Pgap1",420,401,473.5,696.14,688.5,329,675.5,507
"Ankrd44",5172.92,4445.63,8069.11,9251.7,8048.77,4495.2,7378.26,6628.77
"Sf3b1",25126.61,20808,22292.5,29215,26337.5,18589,28996.93,21654.2
"Coq10b",525.94,311,248.3,280.2,274.25,283,266.6,260.5
"Hspd1",3396.67,1792.5,3270.33,2602.08,2379.17,2648.75,2308.42,2956.92
"Hspe1",1415.08,648.67,958.21,933.08,867.54,966.08,878.46,819.82
"Mob4",1251,1031,1185.12,1464.2,1250.83,974.25,1148.23,1054.5
"Rftn2",88,60,123,119,140,87,113,90
"Mars2",170,149,235,261,223,131,232,193
"Boll",664.46,600.21,855.63,792.85,687.88,610.98,649.38,582.94
"Plcl1",1207.08,619.08,1305.71,914.52,935.91,1038.54,1031.34,1242.51
"Hsfy2",0,0,0,0,0,0,0,0
"Satb2",14.12,7,3.14,10,4,3,3,2.14
"1700066M21Rik",128,49.5,117.5,91.5,120,101,103,112
"Tyw5",498.5,247,381,396.5,421.17,347,471,358
"9430016H08Rik",408.5,305,337.5,364,299,349.5,344.83,285
"Spats2l",69,48.29,92,64.17,68.33,56,74,56
"Kctd18",979,644,929,1043,908,743,1040.5,949
"Sgol2a",393,72,326,103,83.5,164.5,91,250
"Aox1",0,0,1,0,1,0.5,0.7,2
"Aox3",0,0.4,0,0,0.52,0,1,0
"Aox4",2,0,4,4,3,0,5,4
"Aox2",12,2,8.1,14.2,10.33,6,14,11.53
"Bzw1",7077.58,4965.17,6874.42,5997.83,5717.67,5608.58,5928.25,6355
"Clk1",10624,8191,7910,12211,10696,6389,9267.5,6197
"Ppil3",663,398,638,646,635,620,650,576
"Nif3l1",450,282,379,412,389.25,360.2,409,433.67
"Orc2",1172,559,1150.33,942,895,814,826.33,1068
"Fam126b",398.36,420.25,606.6,683.22,520.33,297.57,553.49,498.24
"Ndufb3",894.5,540.5,622.5,575,649,752.75,719.5,679.5
"Als2cr12",8.5,15,14.5,16.5,20.5,11,22.62,15.2
"Cflar",2853.44,2196.36,2636.19,3315.63,3226.65,2045.21,2925.14,2604.87
"Casp8",3349.06,2251.67,2927.86,3142.6,3015.9,2727.37,3016.45,2862.2
"Gm28802",73.5,43,42.24,38.5,26,54.33,34.5,36.5
"Trak2",1842.88,1627.62,2631.51,2377.23,2176.95,1509.17,2247.16,2243.52
"Stradb",296,241,389,359.14,361.29,239.33,316.17,352.33
"Als2cr11b",0,2,3,0,3,2,1.33,1
"Als2cr11",1,0,0.2,0,1,0,1.5,0.5
"Tmem237",151,69,111,123.2,95,82,88,159
"Mpp4",10,3,9,9,14,9,13,4
"Als2",473,140,409,285,262,332,255,488
"Cdk15",5.44,0.4,1.11,0.74,3.11,0,1.8,3.26
"Fzd7",21,15,10,6,4,7,7,4
"Gm973",33,36,23.2,49,62,28.86,47,44
"Sumo1",2524.33,1409.17,1923.83,2021.17,1723.5,1881.67,1719.33,1836.75
"Nop58",4630.53,2584,4503.17,3951,3647.83,3822.17,3756,3733
"Bmpr2",328.74,172.75,304.83,393.33,394.5,247.72,394.62,340
"Fam117b",658,681.33,737,879.08,833.87,531.17,817.29,627.12
"Ica1l",50,24,29,48,33,27,42,22
"Wdr12",596,361.33,563.5,562,566,441,504,526.5
"Carf",1402.82,936.65,1295.64,1172.01,1183.83,1238.05,1170.15,1142.93
"Nbeal1",428,476,765,831.33,745.33,319,675,584.67
"Cyp20a1",205.25,131,174,172,150.33,140.25,165.25,167
"Abi2",79.25,47,81,69.22,48,52.12,53.42,83.5
"Raph1",298.6,79,242.25,138.5,154.78,159,113.83,230.83
"LOC102637269",0,0,0,0,0,0,0,0
"Cd28",1064.87,492.33,1440.72,727.54,814.54,793.46,608.77,1011.87
"Ctla4",856.99,92.67,327.44,57,25,242.33,29,220.33
"Icos",622.77,128,379.8,178.11,190.89,485.19,192.91,597.66
"Pard3b",56.35,24.19,28.59,34.03,21.77,19.39,26.99,22.21
"Nrp2",272,96,98,152,140,75,194,106
"Ino80d",1944,1546,2833.33,2636.2,2376,1401,2364.75,2347
"Ndufs1",2394,1671.67,2384,2296,2144.58,2020.33,2296,2258.25
"Eef1b2",19694.5,15575,21321,17034.5,15236.12,16937.5,15805.5,16968.5
"Gpr1",2,4.33,0,3,0,0,0,3.17
"Zdbf2",4.62,11,5.5,0,1,3.16,3.17,1.14
"Adam23",110.25,41.75,1.25,4,1,3.5,4.25,0.25
"Gm39653",0,0,0,0,0,0,0,0
"Dytn",0,0,0,1,0,0.25,0,1
"Mdh1b",0,0,0,0,0,0,0,0
"Fastkd2",653,509,782,731,638.5,559,851,696
"4933402D24Rik",3,0,3,6,3.5,3,1,2
"Cpo",1.72,1.22,0.74,1.34,1.74,0.99,1.05,0.47
"Klf7",741,716,1289,1191,1112,538,1156,921
"Creb1",3805,3163,4844.01,5016.25,4715.9,3018,4383.25,4233
"Mettl21a",364,171.5,286,251,288,311,278.5,308
"Ccnyl1",287.5,235,371,528.5,348,210.5,385,313.5
"Fzd5",157,79,153,84,80,66,66,125
"Plekhm3",255.5,152,251.92,171.33,174.58,90.17,177.67,162.25
"Akr1cl",9.67,4,6.5,2.33,10.25,6,0,4.5
"Cryge",0,0,0,0,0,0,1,0
"Crygd",0,0,0,0,0,0,0,0
"Crygc",0,0,0,0,0,0,0,0
"Crygb",0,0,0,0,0,0,0,0
"Cryga",0,0,0,0,0,0,0,0
"D630023F18Rik",0.5,0,0.5,0.5,0,0,0,0
"Idh1",188,95,63,59,54,41,62,82
"Pikfyve",962,798.33,1263.33,1225.33,1250.33,797,1175,1174.27
"Pth2r",3.02,2.5,2.8,6.38,4.79,2.79,5.72,5.53
"Crygf",0,0,0,0,0,0,0,0
"Map2",83.25,27,107.05,31.4,20.05,43.85,16.05,43
"Unc80",14.68,6,31.14,9.93,8.97,17,7.42,14.42
"Rpe",513.67,252.92,558.92,445.25,446.5,453.75,381.33,492.67
"Kansl1l",383.75,289.75,429.75,655.25,536.5,274.25,509.75,399.11
"Acadl",1855.29,1079.5,1272.55,1225.26,1146.8,1224.89,1129.95,1106.06
"Myl1",0,1.5,0,0,0,0,1,0
"Lancl1",283.75,276.75,273,359.75,348.75,261.92,347.5,249.5
"Cps1",0,0,0,0,0,0,0,0
"Erbb4",11.11,5.75,6.78,8.36,6.85,7.14,8.82,3.66
"Ikzf2",3084.25,985,2450.78,1548.17,1228.7,2365,1656.58,3104
"Spag16",51.34,31.65,17.55,25.42,20.39,19.86,25.32,23.67
"Vwc2l",0,0,1,0,0,0,0,0.17
"Bard1",587,132,380,240,219,266,202,371
"Abca12",2,0,0,2,0,35.5,1,1
"Atic",2551,1922,3278,2828.5,2631.5,2275.5,2720.5,2912.5
"Fn1",66,57.2,6,0.5,4,5.25,2,4
"Mreg",212,55.5,1,0,2,3,4,2
"Pecr",84,50,94,78,74,50.5,78,66
"Tmem169",0,0,0,0,0,1,0,3
"Xrcc5",1231,782,1343,1207,1079,1044,1157,1210
"March4",65.81,48.43,53.25,46.27,40.36,54.94,39.58,44.44
"Smarcal1",931,589.4,798,829,748.17,693.5,812.67,772.17
"Ankar",0,1.33,0.33,0.67,0,0.17,2.17,1.25
"Rpl37a",3194.31,2117.99,2558.63,2241.65,2225.73,2362.99,2353.24,2185.73
"Igfbp2",5,3,0,1,0,0,0,0
"Igfbp5",21,35,1,0,0,0,0,1
"Tnp1",0,0,0,0,0,0,0,0
"Tns1",337.25,208,243,273,209.6,274.67,372,233.83
"Rufy4",12,25,3,7,12,4,5,4
"Cxcr2",21,3,1,1,4,2,1,4
"Cxcr1",0,0,0,3,0,0,0,0
"Arpc2",11611.7,6844.5,11534.5,10850.5,10136.25,9089.5,10445,10342
"Gpbar1",0,2,0,0,1,0,2,1
"Aamp",2320,1769,2116,2241,2219.22,1808,2096,2048
"Pnkd",338.5,153.5,213,246.83,208.5,233.11,253.83,209.5
"Tmbim1",0,0,0,0,0,0,0,0
"Catip",1,7,0,0,2,0,2,0
"Slc11a1",74,17,3,3,2,1,3,1
"Ctdsp1",1641.66,1163.5,1864,1738.5,1702.66,1376.83,1674.83,1526.5
"Vil1",10,8,7,11,4,9,4,4
"Usp37",828.58,523,981.1,972,921,694,890.7,945
"Cnot9",0,0,0,0,0,0,0,0
"Plcd4",44,43,31,43,38,36,34,35
"Zfp142",842,499,772,782,826,732,712,826
"Bcs1l",298,146,223,269,248,250,275,280
"Rnf25",666.5,444,512,637,605,528,589,486
"Stk36",6.5,0.1,7.34,0.99,4.27,7.49,4.83,2.24
"Ttll4",1859.5,1591,2069,2534,2261,1602,2259.5,2086
"Cyp27a1",79,37,1,1,2.11,6,1,4.25
"Prkag3",0,0,0,0,0,1,0,0
"Wnt6",10,0,0,0,0,1,0,2
"Wnt10a",99,28,45,6,5,88,3,62
"Cdk5r2",0,3,0,0,0,0,0,0
"Fev",0,0,0,0,0,0,0,0
"Cryba2",0,0,0,0,0,0,0,0
"Ccdc108",0,0,0,0,0,0,0,0
"Ihh",1,6,0,7,0,8,1,1
"Nhej1",159,80,107,109,99.62,88,107.2,88
"Slc23a3",29,18,18,35,26,39,29,25
"Cnppd1",2289,1540,1924,1940.5,1894,1879,2000,1786
"Fam134a",973,743,958,1018,882,865,1021,955
"Zfand2b",569,352,395,449,477,486,438,374
"Abcb6",195,110,161,202,140,162,193,185
"Atg9a",719,506,581.5,692,669,570,634.5,585
"Ankzf1",550,457,531,696,585,445,593,550
"Glb1l",218,103,160,176,148,169,165,197
"Stk16",1037,691,940,992,1008,1030,994.25,988
"Tuba4a",2195.5,1650.5,1914.5,1998.5,2143,1676.5,2529.5,1828
"A630095N17Rik",4,3,8,8,3,5,12.5,12
"Dnajb2",167,116,140,181,174,158,198,152
"Ptprn",17,25,20,23,13,11,20,7
"Resp18",0,0,0,0,0,0,0,1
"Dnpep",478,347,585,436,472,471,447,501
"Des",6,8,1,0,1,0,1,0
"Speg",5,0,3,4,7,6.5,6,4
"Gmppa",1120,658,863,850,887,890,874,764
"Asic4",4,0,1,5,2,1,0,1
"Chpf",383,251,415,341,316,318,311,356
"Tmem198",70,41,30,46,55,48,43,42
"Obsl1",26,12,26,12,10,17,12,21
"Inha",53,27,49,44,25,79,24,60
"Stk11ip",1207,822,1006,997.5,981.5,911.5,966.5,863.5
"Slc4a3",2,1,0,0,0,0,0,0
"Epha4",0.2,2.95,0.55,1.06,0.1,0,0.3,0.25
"Pax3",0,0.5,1,0,0,0,3,0
"Gm2102",0,0,0,0,0,0,0,0
"Sgpp2",30.5,18,30.5,25,19.5,13.5,21.5,24.5
"Farsb",634.7,536.7,715.03,709.25,699.5,554.67,655.25,665.33
"Mogat1",0.5,0,0,2.5,1,0.5,0,1.5
"Acsl3",159.25,133,87.25,92.5,118.25,103.5,93,81.25
"Utp14b",0,0,0,0,0,0,0,0
"Kcne4",1,1,1,0,0,0,0,0
"Scg2",0,0,0,0,0,0,0,0
"Ap1s3",807.08,332.9,727.7,477,459.08,587.37,433.62,711.48
"Wdfy1",600,315,532,504.25,498,399,482.33,522.25
"Mrpl44",403,244,353,379,379,367,371,336
"Serpine2",7,4,1.1,1.22,1,0,2,0.11
"Fam124b",41,22,40,29,25,34,54,80
"Cul3",4885.14,3133,5185,4728,4407,4112,4075,4491
"Dock10",10812.42,7652.83,10742.62,12634.5,10603.79,7821.48,10509.14,9854.83
"Nyap2",2.75,2.83,1.33,0,0.5,5,0.5,0.7
"Irs1",1,0,0,1.5,0,2,3,3
"Rhbdd1",502.07,256.76,555.06,534.8,481.5,359.31,422.97,427.64
"Col4a4",24.2,6.33,5.68,14.85,20.48,10,17.5,6.1
"Col4a3",2,3.2,3,5,3,4,2,2
"Mff",1455,1096,1618,1583,1538,1287,1653,1578
"Tm4sf20",14,15,8,19,14,6,15,12
"Agfg1",6589,3107,7951.5,4851.83,4386.5,7071,4745.5,9249
"Slc19a3",6.5,3,2,1.33,3,1,0,3
"Krtap28-13",0,0,0,0,0,0,0,0
"Ccl20",0,0,0,0,1,0,0,0
"Daw1",64.75,53,17,46.5,37,34,53,13
"Sphkap",22.33,4.8,27.33,20.14,27.17,24.5,22.7,23.75
"Pid1",47.66,22.2,0.94,2.5,1.28,3,1.67,0.37
"Dner",2.78,3.58,2.44,2.81,3.02,6.89,2.21,3.52
"Trip12",6869.53,4812,9578,7502.5,7133.87,5795.33,7231.42,8575.7
"Fbxo36",28.37,4.47,13.27,20.5,7.14,16.34,20.82,13.72
"Slc16a14",0,0,1,0,0,0,2,0
"Gm15433",23.04,7.14,10.93,7.33,8.38,4.23,9.72,11.79
"A530032D15Rik",89.91,24.39,58.88,37.48,35.69,24.89,41.38,46.79
"Gm35498",274.05,127.79,180.69,175.79,182.69,148.11,166.71,184.94
"Gm38510",87.07,45.45,89.82,78.72,74.6,56.25,78.32,79.36
"LOC102638435",0,0,0,0,0,0,0,0
"Gm7609",0,0,0,0,0,0,0,0
"C130026I21Rik",0,0,0,0,0,0,0,0
"LOC108167347",39.04,24.12,67.8,39.81,42.93,27.82,42.44,56.14
"LOC101055758",279.26,137.22,224.26,200.51,194.78,182.05,198.48,198.15
"Gm2666",0,0,0,0,0,0,0,0
"Gm2427",0,0,0,0,0,0,0,0
"Sp110",5882.9,3725.03,4973.56,5409.63,5411.94,4810.79,5112.26,4683.5
"Sp140",1275.4,484.31,854.07,702.36,676.62,742.02,689.54,856.69
"Sp100",15637.48,10070.82,18086.96,15422.6,15661.53,11953.83,15928.95,15382.15
