"","KH_1KO_L7_trim_paired_alPEv3.BAM","KH_2WT_L2_trim_paired_alPEv3.BAM","KH_3KO_L5_trim_paired_alPEv3.BAM","KH_4WT_L3_trim_paired_alPEv3.BAM","KH_6WT_L6_trim_paired_alPEv3.BAM","KH10KO_L1_trim_paired_alPEv3.BAM","KH7WT_L4_trim_paired_alPEv3.BAM","KH9KO_L8_trim_paired_alPEv3.BAM"
"Cecr6_1",1,0.5,1.5,3.5,4.5,3.25,9.5,4.5
"Cecr5_1",838.58,503,973,761.67,761.08,721.92,682.83,846.83
"Cecr2_1",15.29,12.9,4.25,8.75,4.7,0.25,6.5,7.95
"Slc25a18_1",21.5,9.5,24,29.5,24,17.5,25.5,25
"Atp6v1e1_1",422.44,267.12,355.44,365.82,360.6,289.8,313.63,324.01
"Bcl2l13_1",620.25,350.5,795.25,636.25,619.5,505.25,608,710
"Bid_1",435,337.08,500.67,449.92,412.5,401,406.33,444.83
"Mical3_1",120.25,76,68.75,75.25,53.58,64.67,71,61.08
"Zfp60_1",170,136.5,168.5,196.5,206,140,158,163.5
"Zfp626_1",182.29,140.75,192.84,217.63,282.09,166.79,298.21,229.42
"Serpina1d_1",1.79,3.1,3.5,0.17,0.37,2.33,1.83,1.17
"Serpina1b_1",5.46,5.05,1.5,0.17,0.17,1.33,0.83,0.17
"Mta1_1",649.17,378.05,462.8,559.59,516.43,497.1,491.77,440.99
"Crip2_1",20,6,3.22,2.67,4.33,5.22,1.67,3.11
"Crip1_1",473.76,220,138.89,132.04,135.51,193.66,176.86,180.04
"4930427A07Rik_1",269.22,83.33,204.05,120.5,110.89,193.36,118.67,197.44
"Tmem121_1",7.5,0,3,0.5,0,7.5,1,7.5
"Adam6b_1",11.83,5,4.33,8.33,14,4.5,9.17,1.5
"Adam6a_1",1.33,0,0.5,0.33,1.17,0,1.33,0
"LOC641025",2.33,0,2,0,0,0,0,0
"Bdp1_1",54.25,41.5,104.89,82.75,65.89,28.75,68.5,82.5
"Serf1_1",14.25,7.75,3,3.75,6,5,5.25,2.5
"Smn1_1",284.75,173,249.5,259.12,227.25,243.11,231,240.75
"Naip2_1",65.79,16.93,54.48,25.36,27.37,32.37,29.1,41.2
"Naip5_1",18.85,1.44,0.62,0,1.14,1.03,0.24,1.94
"Olfr1512_1",0,0,0,0.5,0,0,0,0
"Olfr1511_1",0,0,0,0,0,0,0,0
"Olfr1510_1",0,0,0,0,0,0,0,0
"Olfr1509_1",0,0,0,0,0,0,0,0
"Olfr1508_1",0,0,0,0,0,1,0,0
"Olfr1507_1",0,0,0,2,0,0,0,0
"Klhl22_1",162.75,135.5,199.75,198.5,194.75,177.25,185.75,183.5
"Scarf2_1",1,3,1,0,0,1,0.5,0.5
"Car15_1",91.5,72,40,108.25,87,69.75,68.5,50.25
"Dgcr2_1",682.25,431.92,856.83,832.82,782.58,584.2,788.7,783.78
"Tssk1_1",0,1,0.5,1,0,0.5,0.5,0
"Tssk2_1",0,0,0,0.5,0,1,1,0.5
"Dgcr14_1",385.71,263.67,249.75,319.21,281.92,278.67,311.62,228.08
"Gsc2_1",0,0,0,0,0,0,0,0
"Slc25a1_1",214,85.25,144.25,96,104.5,127.25,94,130.25
"Vpreb2_1",0.67,0,0,0,0.33,0,0,0
"Dgcr6_2",36.8,26.89,17.11,21.33,25.22,24.11,19.78,21
"Prodh_2",17.22,5.89,4.11,6.78,7.22,8.22,9,8.89
"Rtn4r_2",1,1.67,0.67,0,0,0.11,0,0
"Ccdc188_1",2.5,4.25,2,7,5,2.25,2.75,4.11
"Cldn5_1",0.5,1,0,0,0,0.5,0,0
"Cdc45_1",270.95,38,179,84.25,76.17,149.75,84,200.25
"Ufd1l_1",825.5,673.75,835.25,1037.25,986.5,634.25,928.25,809.25
"2510002D24Rik_1",333.5,228,235.5,307.75,296.25,290,303.95,236.25
"Mrpl40_1",354.83,168,237.75,217.75,212,277.5,256.5,240.5
"Hira_1",167.72,105.61,213.78,187.05,178.72,154.97,166.72,205.77
"H2-T-ps_1",442.48,201.34,278.32,233.51,249.4,293.02,243.36,317.33
"H2-T10_1",1478.17,633.87,996.68,780.87,765.16,992.82,803.94,1072.08
"Gm7030_1",73.51,23.06,34.61,36.05,41.71,40.86,35.81,41.9
"Gm10499_1",234.62,128.72,230.65,185.46,199.05,194.43,185,241.4
"H2-T3_1",42.11,12.75,28.23,16.12,28.5,29.41,22.21,27.12
"LOC547349",0,0,0,0,0,0,0,0
"Rpp21_1",132.52,96.84,80.72,87.48,109.53,106.57,104.06,78.75
"Trim39_1",475.82,367.49,367.45,562.94,524.47,409.9,509.68,404.29
"H2-M10.2_1",0.2,0.35,0,0,0,0,0.25,0.5
"H2-M10.1_1",0,0,0,0,0,0,0,0
"H2-M10.3_1",0,0,0,0,0.1,0,0,0
"Stk-ps1_1",0,0,0,0,0,0,0,0
"H2-M10.4_1",0,0,0,0,0,0,0,0
"H2-M11_1",0,0.2,0,0,0,0.17,0,0
"H2-M9_1",0,0,0,0,0,0,0,0
"H2-M1_1",0,0,0,0,0,0,0,0
"H2-M10.5_1",0.1,0.3,0,0.1,0.1,0.1,0.27,0.1
"H2-M10.6_1",0.1,0.3,0,0.1,0,0.43,0.27,0.1
"Trim26_1",676.66,473.65,634.15,718.37,688.26,649.98,669.25,590.52
