"","CD4Tfh_1","CD4Tfh_2","CD8Tfc_1","CD8Tfc_2"
"Il1rl2",551,733,130,202
"Il1rl1",107,46,52,40
"Il18r1",2496,2994,3271,4200
"Il18rap",1394,2008,3234.5,4102
"Slc9a4",0,0,0,0
"Slc9a2",8.11,12.05,3.21,10.46
"Mfsd9",32,76,30,26
"Tmem182",0,0,0,0
"Pou3f3",0,0,0,0
"Mrps9",1706.5,1871,1483,1562
"Gpr45",138.6,134,37.17,61.33
"Tgfbrap1",1243,2030.11,1143,1558
"LOC108167597",0,0,0,0
"AI597479",666,563,305,390
"Fhl2",137,149,283,312
"Gm8210",0,0,0,0
"Nck2",844.75,1382.04,1094.25,1428.59
"1500015O10Rik",21,38,45,53
"Uxs1",403.5,391.53,441.67,371
"Tpp2",4057.25,4375.83,3466.33,3905.75
"Mettl21c",16,21,39.45,29
"Ccdc168",15,30,24,22
"Tex30",855,593,650,577
"Kdelc1",394,469,258,271
"Bivm",387,405,239,244
"Ercc5",1140,1445,957,1084
"Mettl21e",6,1,2,2
"Gulp1",5.5,2.75,1.42,1.49
"Col3a1",1,2,0,1
"Col5a2",1,3,0,0
"Wdr75",1264.5,1365,1014.5,1033.5
"Slc40a1",8,6,58,3
"Dnah7b",1627.8,1656.46,2960.07,1605.82
"Dnah7c",12.36,18.13,15.35,14.47
"Slc39a10",613.75,647,446.92,438.33
"Tmeff2",1.25,4.5,1.87,0.32
"Sdpr",3.5,0,2,0.5
"Nabp1",1601,1850,1464,1943
"Myo1b",94.29,79,26.71,15.25
"Stat4",7388.45,6733.39,4110.83,4242.5
"Stat1",16397.2,18821,11443,11113.5
"Gls",6112.75,5750,4229,4682.9
"Nab1",4595.83,5445.83,5090.83,6240
"Tmem194b",3024.67,3900.1,2627.26,3098.08
"Mfsd6",1581.95,1856.1,1540.6,1793.43
"Inpp1",2351,3337,2046.33,2600
"Hibch",745,681,495.5,513.2
"1700019D03Rik",1559,1287.6,940.5,1405.79
"Mstn",26,21,1,9
"1700019A02Rik",2,0,2,3
"Pms1",1223.06,1145.67,771.22,883.6
"Ormdl1",2466.17,1994.17,1198,1437.83
"Osgepl1",542,511,287,386
"Asnsd1",4519.5,2976.5,2536.5,2590
"Dnah7a",441.65,597.16,309.05,332.15
"Stk17b",22029.5,22263,14237,17991.5
"Hecw2",261.89,270.03,198.05,174.85
"Ccdc150",14.5,39.33,24.53,9.95
"Gtf3c3",558.61,655.61,352.55,428.59
"Gm34066",0,3,0,0
"Pgap1",594.5,566,408,395
"Ankrd44",6356.05,7742.37,5818.95,6706.06
"Sf3b1",22269,27679.5,20511.6,21735.6
"Coq10b",1067.5,1396.21,871.5,1069.45
"Hspd1",3610.92,3069.17,3507.17,2687
"Hspe1",1250.42,828.47,907.04,751.79
"Mob4",1527.79,1316.5,924,950
"Rftn2",60,55,91.33,98
"Mars2",138,132,150,156
"Boll",811.53,537.74,521.31,502.72
"Plcl1",2413.41,2057.38,1561,1584.43
"Hsfy2",0,0,0,0
"Satb2",1,0.33,4.25,3.14
"1700066M21Rik",364,299.5,140,120
"Tyw5",394,464,337,384.5
"9430016H08Rik",436,551.83,339,411.5
"Spats2l",24,32.17,28,61.14
"Kctd18",915,1282,822,1036
"Sgol2a",451.5,253.5,386,164.5
"Aox1",0,2,2.2,0
"Aox3",1.33,0.33,0.33,0.67
"Aox4",1,1,1,1
"Aox2",6,5.2,4,5.33
"Bzw1",9482.75,8011.92,6149.75,6008.5
"Clk1",9546.5,11264,9054,7385.25
"Ppil3",1041,778,592,615
"Nif3l1",708,739.5,542,651.7
"Orc2",1424,1402.5,1134,1177
"Fam126b",426.5,474.11,262.52,318
"Ndufb3",1027.5,781,590,549.5
"Als2cr12",12,8,8.5,6
"Cflar",2399.5,3203.14,1817,2100.61
"Casp8",3530.3,3766.36,2524.63,2383
"Gm28802",85,112.5,87,96
"Trak2",1627.5,2304.7,1806.47,2228.71
"Stradb",399,472.1,295.17,355
"Als2cr11b",4,3,1,3
"Als2cr11",0.5,0.5,0.5,0.1
"Tmem237",244,223,148,195
"Mpp4",15,27,11,10
"Als2",850,1121,760,922
"Cdk15",6.7,1.93,2.75,4.77
"Fzd7",20,20,29,19
"Gm973",19.71,13.46,11,8
"Sumo1",3775.17,2784.92,2004.33,2006.58
"Nop58",4740,3469.17,3486,3093.67
"Bmpr2",456.29,449,224.5,244.96
"Fam117b",1041,1194.75,710.96,750.33
"Ica1l",174,196,53,36
"Wdr12",518.1,378.75,309.5,292.83
"Carf",1698.74,1330.19,1090.89,1194.69
"Nbeal1",490.62,505,326.5,420
"Cyp20a1",215,283,202,226
"Abi2",181,282,130.5,150
"Raph1",600.25,818.33,582.5,631.58
"LOC102637269",0,0,0,0
"Cd28",3732.38,4157.82,2688.73,2894.06
"Ctla4",3770.49,4254.13,2424.07,2399.07
"Icos",4444.01,4366.71,1266.09,1403.31
"Pard3b",79.09,80.83,50.02,50.34
"Nrp2",19,22,59,70
"Ino80d",2285.45,2862,2081,2477.83
"Ndufs1",2693,2810.5,2005,2130
"Eef1b2",18877.5,16240.5,16890,15941.5
"Gpr1",0,0.33,5,2.17
"Zdbf2",3.12,1.67,5,3.12
"Adam23",0,4.75,7,0
"Gm39653",0,0,0,0
"Dytn",0,2,1,0
"Mdh1b",0,0,0,0
"Fastkd2",661,654,448,473
"4933402D24Rik",0,1,2,2
"Cpo",2.25,1.37,2.35,0.82
"Klf7",438,755,586,800
"Creb1",3880,3865.25,2961.14,3273
"Mettl21a",440,511,266,289
"Ccnyl1",245,377,263.5,285.5
"Fzd5",133,171,222,217
"Plekhm3",195.33,294.45,181.5,228.08
"Akr1cl",4,2,1,3
"Cryge",0,0,0,0
"Crygd",0,0,0,0
"Crygc",0,0,0,0
"Crygb",0,0,0,0
"Cryga",0,0,0,0
"D630023F18Rik",0,0,0,0
"Idh1",99,99,80,58
"Pikfyve",1230.17,1643,833,992.75
"Pth2r",3.59,13.74,5.16,5.4
"Crygf",0,0,0,0
"Map2",331.75,309.6,199.55,183.85
"Unc80",1.5,1.62,1.42,4.02
"Rpe",950.17,660.75,458.92,433.75
"Kansl1l",529.25,626.75,280.5,260.5
"Acadl",1747.91,1482.44,1567.09,1379.77
"Myl1",0,0,0,0
"Lancl1",487.5,637.5,310,384.25
"Cps1",0,0.25,0,0
"Erbb4",16.64,12.34,10.12,6.67
"Ikzf2",8137.17,8955.83,4577.5,5126
"Spag16",24.07,32.2,20.71,23.92
"Vwc2l",0,0,0,0
"Bard1",366,306,402,278
"Abca12",0,2,0,0.5
"Atic",2423,2698.5,1974,1858
"Fn1",29.33,29.17,101,21.67
"Mreg",5,2,8,0
"Pecr",69,92,71,66
"Tmem169",0,0,1.33,0.2
"Xrcc5",1823,1597,1131,1029
"March4",66.87,59.13,51.08,42.67
"Smarcal1",905,1267.33,850,919
"Ankar",0,3,0,0
"Rpl37a",2865.27,1646.3,1656.78,1555.09
"Igfbp2",0,1.25,0,0
"Igfbp5",1,2,0,0
"Tnp1",0,0,0,0
"Tns1",187,174,531.33,515
"Rufy4",1,0,5,0
"Cxcr2",0,0,9,2
"Cxcr1",0,0,0,0
"Arpc2",16300,17939,12547,14035
"Gpbar1",0,3,0,0
"Aamp",2943,3546,2610,2836
"Pnkd",422.78,514.5,332,298.5
"Tmbim1",0,0,0,0
"Catip",0,4,0,1
"Slc11a1",1,0,18,6
"Ctdsp1",1299,1777.83,1470.83,1415.66
"Vil1",7,2,11,3
"Usp37",864.37,1015.5,779,733
"Cnot9",0,0,0,0
"Plcd4",39.25,61,58,65
"Zfp142",857,1423.5,1113,1345.1
"Bcs1l",236,235,217,196
"Rnf25",619,882,544,503
"Stk36",2.56,3.76,15.42,6.5
"Ttll4",1264.5,2029.5,1561,1589
"Cyp27a1",1.5,2,9,2
"Prkag3",0,0,0,0
"Wnt6",1,0,5,3
"Wnt10a",166,172,156,147
"Cdk5r2",1,0,0,0
"Fev",0,0,0,0
"Cryba2",0,0,0,0
"Ccdc108",0,0,0,0
"Ihh",3,1,1,4
"Nhej1",117,107.29,112,114.2
"Slc23a3",15,29,25,29
"Cnppd1",2474,3518,2709,3036
"Fam134a",1686,2280,1339,1575
"Zfand2b",619,738,437,492
"Abcb6",105,176,145,114
"Atg9a",597,981,625,717
"Ankzf1",394,691,382,531
"Glb1l",171,259,160,239
"Stk16",765,1093,811,830
"Tuba4a",2676,3013.5,2916.5,2686
"A630095N17Rik",0,1,3,2
"Dnajb2",253,327,147,158
"Ptprn",6,2,11,9
"Resp18",0,0,0,0
"Dnpep",723,746,587,725
"Des",0,0,0,0
"Speg",15,19,10,13
"Gmppa",922,1335,844,1078
"Asic4",1,4,2,4
"Chpf",482.2,595,540,566
"Tmem198",60,85,41,82
"Obsl1",2,6,25,34
"Inha",6,10,28,34
"Stk11ip",883.5,1293.5,1066.5,1222
"Slc4a3",3,1,2,0
