"","CD4Tfh_1","CD4Tfh_2","CD8Tfc_1","CD8Tfc_2"
"Mab21l2",0,0,0,0
"Dclk2",645.32,910.69,707.23,695.87
"Cd1d1",770.75,1005.75,568,696.75
"Kirrel",0,0,0,1
"Gm10705",938.76,876.93,555.1,594.52
"Fcrls",0,1,0,0
"Cd5l",0,2,35,1
"Fcrl1",250,220,149,79
"Fcrl5",0,0,5.17,0
"Etv3",1195.5,1796,867.5,948.5
"Etv3l",10,15.5,7,9.5
"Arhgef11",492.5,844,305,390.4
"Gm6570",0,0,0,0
"Lrrc71",91,140,56,69
"Pear1",2322,3438,1333,1649
"Ntrk1",1,0,0,0
"Insrr",65,109,228,243
"Sh2d2a",6356,8380,8288,10049
"Prcc",1168,1495,1107.2,1115.2
"Hdgf",3754.17,3898,4394,3292
"Mrpl24",2592,2682,1775,2030
"Rrnad1",596,932,616,742
"Isg20l2",1819,2146.5,1748,1895.5
"Crabp2",6,6,9,10
"Nes",0,1,3,1
"Bcan",0,0,0,0
"Hapln2",0,0,0,0
"Gpatch4",536.67,595.5,558.25,500
"Apoa1bp",868,964,599,581
"Ttc24",0,0,0,0
"Iqgap3",146,131,197,85
"Mef2d",2351.11,4042,4413.5,5146
"Rhbg",0,1,0,0
"Tsacc",66.64,75.12,68.33,96.14
"Cct3",5465.83,4922.17,4146.5,3890.6
"Glmp",2171,2470,1765,2081
"Tmem79",77,95,72,78
"Smg5",3086,4189,2947,3545
"Paqr6",1.2,5,1,7.5
"Bglap3",0,0,0,0
"Bglap2",0,0,0,0
"LOC101055651",0,0,0,0
"Bglap",0,0,0,0
"Pmf1",658,514,720,491
"Slc25a44",726,1105.33,737,905
"Sema4a",706,1389,3591,4147
"Lmna",92,86,107,45
"Mex3a",50,63,152,132
"Rab25",7,7,5,6
"Lamtor2",1011,941,634,626
"Ubqln4",950,1334,1186,1338
"Ssr2",2542.58,2159.58,1837.33,1660.42
"Arhgef2",3006,4300,3862,4365
"Rxfp4",0,0,0,2
"2810403A07Rik",1729,2635,1466,1987
"Rit1",835,769,529,539
"Syt11",3164.5,3747.75,1763.25,2068
"Gon4l",2148.41,3430,2509.66,2992.83
"Msto1",497,625,483,437
"Dap3",2212,2206.5,1528,1677
"Ash1l",2243.25,3421,2107.25,2633
"Rusc1",732,995,848,863
"Fdps",317.22,308.43,294.49,229.93
"Pklr",7,6,47,7
"Hcn3",28,45,121.5,108
"Clk2-scamp3",12,16,15,14
"Clk2",0,0,0,0
"Scamp3",0,0,0,0
"Fam189b",1861,2364,2124,2492
"Gba",1658,1937,1320,1484
"Mtx1",1058,1242,898,964
"Thbs3",81,95,30,29
"Muc1",26,48,27,37
"Trim46",39,65,47,54
"Krtcap2",1250,1042,977,916
"Dpm3",258,229,194.33,217
"Slc50a1",1767,2196,1672,1707
"Efna1",1,0,1,0
"Efna3",2,2,2,5
"Efna4",32,25,15,22
"Adam15",402,643,245,285
"Dcst1",4,5,3,7
"Dcst2",77,175,3,3
"Zbtb7b",2133.67,2998,209,172
"Lenep",102,133,116,95
"Flad1",862,1242,855,1100
"Cks1b",788.5,400.92,636.17,308.83
"Shc1",1723.5,2231.5,1366.67,1566.83
"Pygo2",1317,1597,1041,1108
"Pbxip1",4902,7212,4298,5594
"Pmvk",624.23,670.58,470.52,503.06
"Kcnn3",1,2,0,1
"Adar",3380,5261,3757,4709.5
"Chrnb2",61,97,75,76
"Ube2q1",3753,4579,3445,3800
"She",4,25.25,4,2
"Il6ra",2183,2973,723,860
"Atp8b2",3731,5263,4749,6476
"Hax1",428.5,397,340.5,273.5
"Ubap2l",4821,6476.5,4559.5,5406
"4933434E20Rik",1279.51,1307.28,777.8,912.58
"1700094D03Rik",429,609,400,524
"Tpm3",4319.08,5533.37,5576.08,5258.29
"Nup210l",1673.75,1474,1580,1380
"Rps27",4000.78,2351.47,2247.55,2068.04
"Rab13",4,6,3,9.33
"Jtb",1357,1432,1278,1340
"Creb3l4",4,3,1,8
"Slc39a1",1166.5,1213.5,1036,987.5
"Crtc2",1979,2938,2342,2513
"Dennd4b",2162,3423,2038,2331
"Gatad2b",2133.5,2950,2111.5,2453.5
"Slc27a3",46,27,51,57
"Ints3",2073.74,2756.44,1970.44,2257.14
"Npr1",4,9,2,2
"Ilf2",1927.5,1893.5,1622,1503
"Snapin",981,1057,659.5,886
"Chtop",4241.83,4776.25,3013,3170.5
"S100a1",32,40,27,50
"S100a13",2131,1534,1142.11,1288
"S100a14",9,6,18,9
"S100a16",0,0,0,0
"S100a3",34.75,32,18,11
"S100a2",0,0,0,0
"S100a4",10179,6631,2665,2806
"S100a5",7,0.67,1,1
"S100a6",2636,2413,2833,2720
"S100a7a",3.83,7.5,2,2
"S100a8",170,9,696,52
"S100a9",257,21,1061,90
"Pglyrp4",0,0,0,0
"9130204L05Rik",0,0,0,0.33
"Gm36323",0,0,0,0
"Gm35185",0,0,0,0
"Pglyrp3",2.33,4,3,2.33
"Lor",0,1,0,1
"Prr9",0,0,0,0
"Lelp1",0,0,0,0
"Sprr2a1",0,0.33,0.33,1
"Sprr2a2",0,0.33,0.33,1
"Sprr2a3",0,0,0,0
"Sprr2b",0,0.33,0.33,1
"Sprr2d",0,0,2,0
"Sprr2e",0,0,0,0
"Sprr2f",0,0,0,1
"Sprr2h",0,0,0,0
"Sprr2i",0,0,0,0
"Sprr2k",0,0,0,0
"Sprr1b",0,0,0,0
"Sprr3",0,1,0,2
"Sprr1a",0,0,0,0
"Sprr4",0,0,0,0
"Ivl",0,0,0,0
"Smcp",0,0,0,0
"Lce6a",0,0,0,0
"Lce1a1",0.5,0,0,1
"Lce1b",0,0,0,0
"Lce1a2",0.5,1,0,0
"Lce1c",0,0,0,0
"Lce1d",0,0,1,0
"Lce1e",0,0,0,0
"Lce1f",0,0,0,0
"Lce1g",0,0,0,0
"Lce1h",0,0,0.5,0
"Lce1i",0,0,0,0
"Lce1j",1,0,0,0
"Lce1k",0,0,0,0
"Kprp",0,0,0,0
"Lce1l",0,0,0,0
"2310050C09Rik",0,0,0,0
"Lce3a",0,0,0,0
"Lce3b",0,0,0.2,0
"Lce3c",0,0,0.2,0
"Lce3d",0,0,0.2,0
"Lce3e",0,0,0.2,0
"Lce3f",0,0,0.2,0
"Crct1",0,0,0,0
"Lce1m",0,0,0,1
"Gm4858",0,0,0,0
"Crnn",0,0,0,0
"Flg2",0,1,0,0
"Flg",1989.11,1782.53,1629.52,1782.8
"Hrnr",0,0,0,0
"Rptn",0,0,0,0
"Tchh",3,1,2,2
"Tchhl1",0,0,0,0
"S100a11",2176.66,2363.33,1687.92,1581.5
"S100a10",10823,7141,6436,6555
"Tdpoz2",0,0,0,0
"Tdpoz1",0,0,0.17,0
"Tdpoz4",0,0,0,0
"Tdpoz3",0,0,0,0
"Tdpoz5",0,0,0,0
"Gm9125",0,0,0.17,0
"Gm10697",0,0,0,0
"Gm10696",0,0,0,0
"Them4",154,152,87,83
"Them5",0,3,0,0
"C2cd4d",1,0,0,0
"Rorc",30,41,25,39
"Lingo4",0,0,0,0
"Tdrkh",37,36,30,16
"Oaz3",0,1,0,0
"Mrpl9",1710.14,1813.33,1545.33,1793
"Riiad1",7,13,3,9
"Celf3",66,129,14,24
"Snx27",1212.11,1664.57,988,1149
"Tuft1",143.75,181.5,199,232.5
"Selenbp2",1.5,0,6.25,0.5
"Cgn",0.5,4,1,3.5
"Pogz",1485.45,2263.25,1538.65,1761.38
"Psmb4",4677,3818,3311,3124
"Selenbp1",1.5,2.2,25.25,2.5
"Rfx5",1260,1722,973,1193
"Pi4kb",741,1153,676,922
"Zfp687",670,1048,584,859
"Psmd4",3098,3265,2591,2556
"Pip5k1a",1654.11,2141,1470.5,1563.83
"Vps72",1023.85,1397.8,992.2,1024.4
"Tmod4",192,311,277,278
"Scnm1",505,545.5,342.17,385.14
"Lysmd1",183,273.75,159,166.75
"Tnfaip8l2",1192,1125,640,666
"Sema6c",27,53,21,29
"Gabpb2",4394.5,5865,3907,5004
"Mllt11",257,276,261,257
"Cdc42se1",5056.5,6119,5122.5,5796.5
"Gm128",3,5,7,11
"Bnipl",15,41,13,27
"Prune",369,423,463.5,500
"Fam63a",425,627,432,450
"Anxa9",26,39,39,42
"Cers2",3120,4196,2777,3290
"Setdb1",1777.5,2427.95,1592.75,1761.17
"LOC108168884",1,4,2,0
"Arnt",1583,2084,1278,1473.25
"Ctsk",29,42,38,34.5
"Ctss",6158.96,5019.19,2837.65,3022.35
"Hormad1",4,1.4,1.1,1.4
"Golph3l",865.25,897.5,493.67,604
"Ensa",3087.5,3303.5,1954.5,2176.5
"Mcl1",9906,11352.1,8709,9548
"Adamtsl4",201,247,144,177
"Ecm1",289,399,245,208
"Tars2",1373,1885,1515.33,1575
"Rprd2",1645.17,2184.5,1639.44,1782.17
"Prpf3",1059,1265.5,1043,943.5
"Mrps21",1351.5,1081.5,754.5,771
"Ciart",515,663.83,410.5,451.5
"BC028528",11,7,22,2
"Aph1a",622.67,775.08,554.75,564.17
"Car14",16,6,12,15
"Anp32e",5646,4497.5,4027,3023
"Plekho1",632,776,359,248
"Vps45",762,800.5,490,563
"Otud7b",1531,2050,1168,1330.5
"Mtmr11",43,76,45,61
"Sf3b4",608,810.5,657,719
"Sv2a",169,266,197,222
"Bola1",117,107,132,72
"Hist2h2ab",0,3,2.2,0
"Hist2h2ac",8,8.25,9.15,2.37
"Hist2h2be",118,139,82,100
"Hist2h3c2",3,3,7.1,1.33
"Hist2h2aa2",19.8,21.22,33.47,28.22
"Hist2h2aa1",17.2,17.64,31.57,23.43
"Hist2h3c1",3,1,7.1,1.33
"Hist2h4",2,5,4,2
"Hist2h3b",2,7,8.1,3.33
"Hist2h2bb",40,16,32,12
"Fcgr1",4.13,1.93,20.48,3.82
"BC107364",3.7,0.62,12.12,0.17
"Hfe2",0,0,0,0
"Txnip",5191,6233,5577,6626
"Polr3gl",578,857,547,669
"Ankrd34a",0,8,1,1
"Lix1l",268.5,265.5,159.5,177
"Rbm8a",1223,1294,1201.5,1111.5
"Pex11b",531,564,374,441
"Itga10",41,48,34,22
"Ankrd35",48.5,88,38,60.5
"Pias3",548,774,505,656
"Nudt17",41,62,37,40
"Polr3c",1743,2230,1744.5,1784
"Rnf115",2210,2210,1799.17,1999
"Cd160",840,905,1815,2105
"Pdzk1",291.61,352.11,257.33,302.78
"Gpr89",504,523,406,477
"Gja8",0,0,2,1
"Gja5",5,5,6,18
"Acp6",563,672,534,463
"Bcl9",580.82,911.53,283.53,320.5
"Olfr1402",0,0,0,0
"Chd1l",1326,1647.14,1393,1297
"Fmo5",162,194,127,156
"Prkab2",154,228,181,232
"Pde4dip",1155,1520,869.29,1154
"Sec22b",1676,1606,1146,1231.5
"Gm5544",0,0,6,3
"Notch2",1367.33,1722.83,1198.5,1267
"Adam30",0,3,4,3
"Reg4",0,0,0,0
"Hmgcs2",0.31,1.47,5,0
"Phgdh",640.77,556.94,580.21,498.75
"Zfp697",0,0.5,0.2,0.17
"Gm4450",0,0,0,0
"Hsd3b4",0,0,0,0
"Gm10681",0,0,0,0
"Hsd3b5",0,0,0,0
"Hsd3b2",0,0,0,0
"Hsd3b3",0.5,2.25,0.5,0
"Hsd3b6",0,0,0,0
"Hsd3b1",0,0,0,1
"Hao2",0,0,0,0
"Wars2",514.17,607.5,555,669
"Tbx15",1,1,1,0
"Spag17",2.31,0.83,6.2,4.35
"Wdr3",1048,1315,761,1048
"Gdap2",765,901,551,745
"Fam46c",1973.45,2333.1,1580,1974.5
"Man1a2",757.08,868.08,639.67,756.62
"Vtcn1",3.5,4,6.25,6
"Trim45",50.5,65.5,34,46
"Ttf2",376.25,430.5,370,364.5
"Cd101",217,333,253.75,317.25
"Ptgfrn",420.5,518.5,254,276.5
"Cd2",4359.5,4614.75,2546.85,2892.25
"Igsf3",95,147,125,160
"Atp1a1",8966,10067,9847,12098
"Mab21l3",2,0,1,3
"Slc22a15",3563,4704,2266,2617
"Nhlh2",0,0,0,0
"Casq2",0,0.25,0,0.25
"Vangl1",39,58,38,45
"Ngf",0,0,0,0
"Tspan2",96,71,65,27
"Tshb",1,2,1,0
"Sycp1",51,53.82,23.75,27.12
"Nr1h5",0,0,2,0
"Sike1",833,913,849,962
"Csde1",5909.07,5681.35,4422.23,4592.01
"Nras",2362,2443,2317,2405
"Ampd1",13,8,14,9.5
"Dennd2c",14,19,18,10
"Bcas2",1959,2821,2183,2471
"Trim33",2280,2792,2151,2426
"Syt6",175,132.25,104.25,111
"Olfml3",6,10.5,12.5,16.5
"Hipk1",2008,2569,2286.08,2708.75
"Dclre1b",113,168,126.75,139.75
"Ap4b1",338.25,448.25,292.5,326
"Bcl2l15",163.83,143.6,44.5,65
"Ptpn22",3347.17,4346.36,3475.18,4174.25
"Rsbn1",863.47,851.51,542.35,571.44
"Phtf1",931.75,1178.42,848.94,949
"Magi3",118,129.45,134.67,112.25
"Lrig2",839,1021.5,775,777
"Slc16a1",1039,804.5,854,579.25
"Fam19a3",1,7,21,22
"Ppm1j",111,216,421,572
"Rhoc",96,104,141,184
"Mov10",704.24,927.57,898.83,744.99
"Capza1",7456.55,6814.24,5550.99,6106.41
"St7l",679.97,734.8,522.84,546.57
"Wnt2b",22,21,25,28
"Cttnbp2nl",9,15,3,5
"4930564D02Rik",0,0,1,0
"Kcnd3",6.69,3.6,5.71,9.25
"Ddx20",724,853,568.33,560
"Fam212b",61,94,33,75
"Rap1a",5132.42,4366.25,2559,2543.25
"Tmigd3",71,81,19.11,40.11
"Adora3",0,0,0,0
"I830077J02Rik",0,0,7,0
"Atp5f1",5132.08,3630.5,3091,2948.5
"Wdr77",940,1117,883,900
"Ovgp1",68,118,74,118
"Pifo",20,20,4,6
"Chil5",152,193,164,154.5
"Chia1",2,2,0.25,0
"Chil3",6.33,2.5,24.83,3
"Chil4",0.33,0,0,0
"Chil6",60.2,72,35,21
"Dennd2d",21806.33,31356.33,11700,15702.11
"Cept1",3001,2705,1376,1538.25
"Dram2",902,856,446,504
"Lrif1",1578.5,1588.95,999.12,1036.8
"Cd53",19131,15286,8493.5,9532.75
"Olfr266",0,0,0,0
"Kcna3",656,1105,418,686
"Kcna2",269,383,379,483
"Kcna10",0,0,0,0
"Cym",0,1,12,5
"A630076J17Rik",0,0,0,0
"Prok1",1,0,0,0
"Lamtor5",1195.67,908.83,690.33,693.33
"Slc16a4",54,45,51,31
"Rbm15",1059,1101,976,1033
"Kcnc4",0,0,2,0
"Slc6a17",0,0,0,0
"Ubl4b",0,0,0,0
"Alx3",0,0,0,0
"Strip1",1239.5,1743,1161,1216
"Ahcyl1",2898,3515,2207,2532
"Csf1",1042,1467,247,173
"Eps8l3",4,4,0,0.1
"Gstm5",11,8,14,4
"Gstm7",2,4,4,2
"Gstm6",0,0,0,0
"Gstm3",0,1,0,0
"Gstm2",0,0,0,0.67
"Gstm1",8.83,15.83,33,17.5
"Gstm4",169,182.5,82,92.5
"Ampd2",845,1108,1019,1004
"Gnat2",4,5,2,4
"Gnai3",6325,5628,4179,4789
"Gpr61",0,2,0,0
"Amigo1",133,181,139,225
"Cyb561d1",736,1106,543,658
"Atxn7l2",215,373,427,437
"Sypl2",2,3,11,2
"Psma5",679.5,499.42,452.12,387.83
"Sort1",34.33,31,65,25
"Mybphl",0,0,0,0
"Psrc1",93,70,85,54
"Celsr2",174,240,258,359
"Sars",3516,3734,3541,3644
"5330417C22Rik",23.5,24,24,17
"1700013F07Rik",1,1,0,0
"Tmem167b",1071,1239,796,971
"Taf13",608,459.42,509.5,420.33
"Wdr47",418.3,522.67,415.11,513.29
"Clcc1",1045,1160,861,855
"Gpsm2",565,455,582,384.25
"Aknad1",0,0,3,0
"Stxbp3",942,1168,723.75,811
"Fndc7",150.99,102.28,121.08,86.87
"Prpf38b",5469,7973,5195,5431
"Henmt1",0,0,1,1
"Fam102b",255,298,276,337
"Slc25a54",5,0,0,2
"Slc25a24",385.25,419.5,273.62,295.75
"Vav3",374.25,416.39,253.17,279.46
"Ntng1",3.5,3.74,2.77,5.32
"Prmt6",433,512,364,351
"Amy2b",0,0,0,0
"Amy2a5",0.2,0,0,0
"Amy2a4",0.2,0,0,0
"Amy2a3",0.2,0,0,0
"Amy2a2",0.2,0,0,0
"Amy2a1",0.2,0,0,0
"Amy1",8.5,10,1,5.29
"Rnpc3",716,767,495,643
"Col11a1",0,0,3,0.14
"Olfm3",3.6,0,1.37,2.5
"S1pr1",2406,3293,1846,1918
"Dph5",598.56,738.45,479.25,486.97
"Slc30a7",1225,1354.5,861,930.5
"Extl2",122,130,65,78
"Vcam1",279,291,84,42
"Gpr88",0,0,0,0
"Cdc14a",1324,1594,1121,1118
"Rtca",1060,1002,940,893
"Dbt",1109.75,1115.17,754.33,922.17
"Lrrc39",43,88,59,75
"Trmt13",272,393,253,343
"Sass6",216,238,208,177
"Mfsd14a",3424,3766.22,2336,2525
"Slc35a3",1199,1090,811,824.5
"Agl",464.1,651.25,514.72,853.81
"Frrs1",354,513,454,525
"Palmd",3,2,3,1
"Plppr4",0,0,0,0
"Plppr5",0.33,0,0,0
"Snx7",14,12,15,11
"Dpyd",3.47,5.78,6.48,3.54
"Ptbp2",1830,1915,1523,1579
"Rwdd3",157,237,121,123
"Tmem56",2568.64,2431.14,5167.55,2302.84
"Alg14",134,163.5,130,123
"Cnn3",43.33,27.33,52,37
"Slc44a3",0,0.33,0,0
"4930432M17Rik",0,0,0,0
"F3",0,2,1,1
"Abcd3",846,986,791,921
"Arhgap29",68.33,58.33,20,30
"Abca4",0.2,2,2,0.5
"Gclm",12103.77,7030.05,7086.85,6091.29
"Dnttip2",2054,2244,1447,1666
"Bcar3",251,291,121,34.17
"Fnbp1l",8,3,2,0
"Pde5a",15.2,16.4,22,18.25
"Fabp2",0,0,0,0
"1810037I17Rik",1148.83,763.83,759.67,656.17
"Usp53",728,849,559,652
"Myoz2",0,1.33,1,0.4
"Synpo2",1.25,1.26,3.77,2.02
"Sec24d",680,846.5,386,523
"Mettl14",748,864,638,671
"Prss12",19,19.35,26,15
"Ndst3",0,0,0,0.11
"Tram1l1",2,0,0,0
"1700006A11Rik",0,0,1,0
"Ndst4",2.2,6.29,3.5,2.77
"Ugt8a",1,0.14,7.12,0.5
"Arsj",1,0,0,0
"Camk2d",2464.45,3001.75,1651.54,1548.14
"Ank2",8.11,2.38,0,0.29
"Larp7",1839.58,1785.83,1496.33,1352.25
"Zgrf1",522,515,613.43,419
"Neurog2",3,0,2,0
"Alpk1",441.93,360.76,317.51,265.48
"Tifa",11,2,87,2
"Ap1ar",1093,1373,1066,1139
"5730508B09Rik",90,124,89,49
"Pitx2",4,4,2,3
"Enpep",0,3.1,8,1
"Elovl6",409.5,565.5,528,679.5
"Egf",36.17,53,61,54
"Lrit3",1,0,0,2
"Rrh",3,3,6,3
"Gar1",576,680,803,677
"Cfi",1,1,0,0.5
"Pla2g12a",291,342.5,335,244
"Casp6",605,667,452,546
"Ccdc109b",301,325,212,257.25
"Sec24b",2534.62,3550.91,2683.93,3095.41
"Col25a1",4.96,1.42,2.87,4.83
"Etnppl",1,0,0,0
"Ostc",3149,2139,1745,1590
"Rpl34",5064.67,3366.38,3188.22,2992.39
"Lef1",2411.25,3499.12,2623.5,2143.58
"Hadh",1206,1234,823,804
"Cyp2u1",17,33,7,30
"Sgms2",1.75,2,4.5,0.25
"Papss1",884.5,1106.08,697.57,789.45
"Dkk2",0,0,0,0
"Gimd1",0,0,0,1
"Aimp1",1879.83,1582.5,1447.5,1387
"Tbck",576.25,665,516,476.5
"Npnt",198,209,68,35
"Gstcd",454,494,473,479.25
"Ints12",628,664,359,453
"Arhgef38",0.64,0,0,0
"Ppa2",665,784,695,664
"Tet2",1287,1755.5,1657.79,1641
"Cxxc4",0,0,0,0
"Tacr3",0.5,0,1.24,0
"Cenpe",1688.33,1176,1718.5,861.25
"Bdh2",7,1,3,1
"Slc9b2",310,339,86,70
"Slc9b1",11,11.33,6,8
"Cisd2",1185,1411.5,888.5,954
"Ube2d3",8668.59,8221.33,6289.47,6335.36
"Manba",1519.33,1864.67,1314.5,1555
"Nfkb1",7584,9895.33,6049,7139
"Slc39a8",169,156,70,47
"Bank1",608.88,956.64,401.52,610.63
"Ppp3ca",536,616,1293,1267.12
"Gm567",0,0,0,0
"Emcn",0.33,0.11,2.2,0.25
"Gm4861",0,0,0,0
"Ddit4l",0,0,0,0
"H2afz",5795.44,3314,3803.33,2753.25
"Dnajb14",286.17,410.78,81.67,103.08
"Lamtor3",1129.5,1615.1,1139.75,1219
"Dapp1",2755.5,3326,1442,1521
"LOC102634333",0,0,0,0
"Mttp",64.79,109,115.5,103.14
"Trmt10a",199,246,225,230
"4930579F01Rik",0,0.2,0,0.2
"Adh7",3,9.41,3,3.34
"Adh1",19,31,4,1
"Adh6a",0,0,0,1.14
"Adh6b",0,0,0,0
"Adh4",7,6,17,17
"Adh5",3320,2498,2167,2293
"Metap1",1397,1731,1136,1249
"Eif4e",1503.75,1123.08,889.83,702.33
"Tspan5",1419.75,1889.35,728.99,766.41
"Rap1gds1",3475,4720.5,2086.17,2398
"Stpg2",3189,2784.32,2387.55,2247.25
"Pdha2",0,0,0,0
"Unc5c",4.2,4.33,0.79,0
"Bmpr1b",0,0,0,0
"Pdlim5",806.4,979,755.5,822.5
"Gbp5",1886.78,2245.17,1409.13,1698.92
"Gbp7",2926.17,3491.42,2824.5,3443.08
"Gbp3",2154,2077.5,2123.5,2103
"Gbp2b",2280.17,1947.17,1589.17,1400
"Gbp2",3625.17,3263.83,2795.5,2889.17
"Kyat3",167,132,54,41
"Gtf2b",1681.25,1568,1214,1174
"Pkn2",1865.6,2225,1573.17,1753
"Lmo4",914,1058,209,136
"Hs2st1",508,595,357.33,403.69
"LOC108168906",0,0,0,0
"Sep15",5635,3393,2773,2932
"Sh3glb1",3527,4054,3245,3528
"Clca3a1",2.5,1.17,2.7,1.12
"Clca3a2",0,0.67,5.9,0
"Clca3b",0.33,0,0,0.12
"Clca4b",0,0.25,1,0
"Clca4a",0,0,0,0
"Clca1",0,0,0,1
"Clca2",2,0,1,0
"Odf2l",434,588,343,311
"Col24a1",20,17.5,8,5.25
"Znhit6",549,441,309,336
"Cyr61",2,0,5,0
"Ddah1",14996.19,7548.46,8036.73,7171
"Bcl10",2196,2478.5,1582,1671
"2410004B18Rik",732,717,682,618
"Syde2",15.5,16,46.83,29.5
"Wdr63",6.04,13.4,6.59,6.92
"Mcoln3",205,218,325,330
"Mcoln2",277,327,612,814
"Lpar3",112,146,23,28
"Ssx2ip",322,263.5,271.5,254.5
"Ctbs",70,89,64,70
"Spata1",188,312,208,206
"Gng5",963.96,697.55,530.98,500.53
"Rpf1",1297,1621,976,1192
"Dnase2b",2,0,0,0
"Uox",1,0,0,1
"4930503B20Rik",0,1,0.25,0
"Prkacb",6770.33,7466.11,4339.33,5873.33
"Ttll7",4.14,2.94,2.1,3.43
"Adgrl2",2,1,4,2
"Adgrl4",4.27,0.41,23.86,1.14
"Ifi44",20,5,38,0
"Ifi44l",8,14,18,1
"Ptgfr",0,0,0,0
"Gipc2",0,2,1,4
"Dnajb4",325,459,508,467
"Fubp1",3908,3852,2632.5,2824
"Nexn",6,9,13,15
"Fam73a",927.08,987.32,1083.15,1193.07
"Usp33",1652,2064,1123,1299
"Zzz3",2163.67,2728,1914.17,2059
"Ak5",12.39,22.34,7.69,10.63
"3110067G11Rik",0,0,0,0
"Pigk",1273.92,1260.12,964.1,985.43
"St6galnac5",18.24,31.62,13.5,18.1
"St6galnac3",728.79,779.05,744.05,549.08
"Asb17",0,2,3,2
"Msh4",4.11,3.11,3.29,4.11
"Rabggtb",1696,1649,1484,1299
"Acadm",685.5,757.61,702.67,753.5
"Slc44a5",77.94,116.03,72.94,76.01
"Lhx8",0,0,0,0
"Tyw3",118,126,58,76
"Cryz",110,118,87,90
"Erich3",45,41,13,16
"Tnni3k",1,0.67,0.5,4
"Fpgt",541,569,207,249
"Lrriq3",11,6.14,5.38,8.17
"Negr1",51.64,93.97,32.02,56.22
"Zranb2",2184,1753,1164,1261
"Ptger3",2,6,2,0
"Cth",0,0,0,0
"Ankrd13c",1348,1573.58,1304.43,1482.67
"Srsf11",5521,6649,5432,5574
"Lrrc40",596,468,393,284
"Lrrc7",5.6,8,11.58,7.39
"Depdc1a",485.25,193.9,322.5,139
"Rpe65",1.5,0,1.5,0
"Wls",705,725,544,517
"Vmn1r2",0,0,0,0
"Vmn1r3",0,0,0,0
"LOC108168923",0,1,5,4
"Gm11787",0.5,1,5.75,1.5
"Tmem68",401.4,469,304,320.2
"Tgs1",962.5,1049.5,764.5,855
"Lyn",42,32.83,186.25,31.5
"Rps20",11825.5,6844.53,8326.83,7297.58
"Mos",0,0,0,0
"Plag1",46,53,50.12,57
"Chchd7",367,347,298,299
"Sdr16c5",0.1,0,0.25,1.14
"Sdr16c6",0,0,0,0
"Penk",6744,6944,2529,2482
"Gm11780",0,0,0,0
"Impad1",1534,1558,1343,1495
"Fam110b",15.43,34,11,7.38
"Ubxn2b",560,688.74,389.5,565.11
"Cyp7a1",0,0,0,0
"Sdcbp",4680,3183,2606.5,2753
"Nsmaf",8382,10710.5,8924.2,11779.48
"Tox",4099.5,4928,3846,3809.5
"Car8",4,1,0,0.2
"Rab2a",1593,1447.5,1336.5,1151.93
"Chd7",2403,3478,3730.2,4511
"LOC108168925",0,0,0,0
"Clvs1",2.29,2.33,1.2,1.57
"Asph",18,18.85,35,22.34
"Gdf6",0,0,0,0
"2610301B20Rik",363.5,317.5,178.14,218
"Plekhf2",953.2,962,672.5,734
"Ndufaf6",211,294,200.2,179.25
"Trp53inp1",10479.83,10458.88,3980,4767.62
"Ccne2",209,168,153,158
"Ints8",2082.25,1963,1343.33,1532
"Dpy19l4",830,940,511,683
"Esrp1",0,2,2,0
"1110037F02Rik",2899.5,4255,2289,2853.5
"Rad54b",280,231,274,172
"Fsbp",0,0,0,0
"Gem",1157,1520,1262,1363
"Cdh17",6,6.5,8,10
"Pdp1",296,242,164,163
"Tmem67",101,104,96,95
"Rbm12b2",606.72,675.75,407.25,453.25
"Rbm12b1",687.5,819,431.25,558.25
"Fam92a",1778,1325,996,918.5
"Triqk",0,2.12,1,0.25
"Runx1t1",0,0,0,0
"Slc26a7",0.14,0,0.12,0
"Lrrc69",68.68,114.94,89.44,89.28
"Otud6b",761.83,630.83,427,441.33
"Tmem55a",738,641,337,373
"Gm11837",2,2,2,0
"Necab1",0.58,1,0.5,1.17
"Tmem64",557,610,381,454
"Calb1",0,0,0,0
"Decr1",1455,1357,679,729
"Nbn",1585,1450,759,744
"Osgin2",535,636,506,507
"Ripk2",603,681,564,566
"Mmp16",6.37,0.5,0.5,1.67
"Cnbd1",920.5,818,723.12,828.2
"LOC108168945",0,0,0,0
"LOC108168946",12.37,23.13,15.33,20.07
"Cngb3",28.42,22.63,27.99,22.05
"Cpne3",916,930.5,611.25,915
"Rmdn1",427,531,317,349
"Wwp1",488.5,552.5,526.5,564.83
"Slc7a13",0,0,0,0
"Atp6v0d2",13,5,0,0
"Ttpa",0,0,2,2
"Ggh",215,157,140,152
"Nkain3",5.2,7.05,3.11,3.1
"Prdm13",0,0,0,0
"Ccnc",934,775,499.5,520
"Tstd3",78,85,40,47
"Usp45",1093,1318,833,915
"Pnisr",3744,5951,3408,4288
"Coq3",462,368.22,265,222.2
"Faxc",29,41,127,207
"Fbxl4",357.36,467.22,305.33,416.8
"Pou3f2",0,0,0,0
"Mms22l",1181.25,1203.5,1092,1086
"Klhl32",513.25,602.14,475,427.77
"Ndufaf4",694,726,456,527
"Gpr63",0,5,0,3
"Fhl5",0.25,0.5,6.67,4
"Ufl1",1460,1667,983,1037.5
"Fut9",1.81,0.4,3.03,0.49
"Manea",405,382,293,382
